schemaVersion,recordType,source_name,source_url,content_title,content_authors,content_paper_url,content_pdf_url,content_github_url,content_github_stars,content_published_date,content_primary_category,collectedAt
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03941v1,Headroom-Drift Replay: A Primitive for Principled Replay Control in GRPO,Hyun Bin Park; Du-Seong Chang,http://arxiv.org/abs/2609.03941v1,https://arxiv.org/pdf/2609.03941v1,,,2026-09-03T14:45:47+00:00,cs.LG,2026-09-05T16:37:03.609111+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03940v1,Masked Autoregressive Speech Enhancement with Continuous Neural Audio Codec Representations,Yoto Fujita; Simon Leglaive; Laurent Girin,http://arxiv.org/abs/2609.03940v1,https://arxiv.org/pdf/2609.03940v1,,,2026-09-03T14:45:42+00:00,cs.SD,2026-09-05T16:37:03.609128+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03938v1,Towards Numerical TOHTN Planning with SMT-based HTN-SAT Encoding,Gaspard Quenard; Takudzwa Togarepi; Damien Pellier; Humbert Fiorino,http://arxiv.org/abs/2609.03938v1,https://arxiv.org/pdf/2609.03938v1,,,2026-09-03T14:44:37+00:00,cs.AI,2026-09-05T16:37:03.609348+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03937v1,RATL: Learning from Retrieved Residuals for Robust Multivariate Time-Series Forecasting,Yuchen He; Yueyang Cang; Zhiyuan Ning; Ningyu Wang; Li Shi,http://arxiv.org/abs/2609.03937v1,https://arxiv.org/pdf/2609.03937v1,,,2026-09-03T14:44:31+00:00,cs.LG,2026-09-05T16:37:03.609369+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03923v1,Speak for Me: Giving LLMs the Situational Awareness to Participate in a Meeting,Muneeb Khan; Frederic Kirstein; Terry Ruas; Bela Gipp,http://arxiv.org/abs/2609.03923v1,https://arxiv.org/pdf/2609.03923v1,,,2026-09-03T14:38:09+00:00,cs.AI,2026-09-05T16:37:03.609413+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03920v1,Value-Preserving Architectures for Agentic AI Systems,Alessandro Pesare; Tommaso Dolci; Katja Hose; Emanuel Sallinger,http://arxiv.org/abs/2609.03920v1,https://arxiv.org/pdf/2609.03920v1,,,2026-09-03T14:36:23+00:00,cs.AI,2026-09-05T16:37:03.609433+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03912v1,"Lose the Order, Keep the Hierarchy: Deordering HTN Plans",Takudzwa Togarepi; Gaspard Quenard; Damien Pellier; Humbert Fiorino,http://arxiv.org/abs/2609.03912v1,https://arxiv.org/pdf/2609.03912v1,,,2026-09-03T14:27:58+00:00,cs.AI,2026-09-05T16:37:03.609448+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03892v1,GraFT: A Training-Free Framework for Spatial Reasoning in Multimodal Large Language Models via 3D Scene Graphs,Junqing Du; Fernando Ropero; Erkin Turkoz; Yanfeng Zhang; Lu Liu,http://arxiv.org/abs/2609.03892v1,https://arxiv.org/pdf/2609.03892v1,,,2026-09-03T14:11:56+00:00,cs.CV,2026-09-05T16:37:03.609463+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03889v1,FWBC-VLA: Force-Aware Whole-Body Compensation for Contact-Rich Loco-Manipulation,Yutian Zhang; Siyuan Ma; Liwen Yang; Yang Li; Ce Hao; Haozhen Chi; Dong We; Qiaojun Yu; Dibo Hou,http://arxiv.org/abs/2609.03889v1,https://arxiv.org/pdf/2609.03889v1,,,2026-09-03T14:10:47+00:00,cs.RO,2026-09-05T16:37:03.609481+00:00
1.0,RESEARCH_PAPER,arXiv,http://arxiv.org/abs/2609.03884v1,"A Blind Trust, the Bloody Thrust: When Attacker-Controlled Hook Updates Steer AI Agent Harnesses towards Malicious Behaviors",Pengxun Li; Litian Zhang; Jianwei Hou; Shujiang Wu; Song Li; Zifeng Kang; Xi Zhang,http://arxiv.org/abs/2609.03884v1,https://arxiv.org/pdf/2609.03884v1,,,2026-09-03T14:08:42+00:00,cs.CR,2026-09-05T16:37:03.609499+00:00
